model,task,precision,recall,f1,average_precision,auroc,threshold,positive_rate
One-Class SVM,anomaly_detection,0.8055555555555556,0.7435897435897436,0.7733333333333333,0.8560577018564252,0.997525230576078,9.350568600672226,0.016643550624133148
Isolation Forest,anomaly_detection,0.8235294117647058,0.717948717948718,0.7671232876712328,0.8932045475994983,0.9973682939784635,0.11219693705923922,0.01571890892279242
XGBoost,failure_classification,0.8181818181818182,0.9204545454545454,0.8663101604278075,0.9534256661202332,0.9978860898138007,0.26872965693473816,0.04576976421636616
Random Forest,failure_classification,0.9154929577464789,0.7386363636363636,0.8176100628930818,0.9461903380701926,0.9976560788608981,0.5966350922966378,0.03282478039759593
